est_id;nombre;R;X;Y;Z;num_anios
1;5001;187,6419;502517;4188094;1474;43
2;5004;161,8626;504591;4195800;1170;37
3;5006;137,4555;506421;4197188;970;36
4;5007;100,1056;507266;4207205;1420;16
5;5008;113,467;509100;4203200;865;23
6;5011;73,2384;511050;4204127;1060;13
7;5012;149,5091;512516;4202434;1160;35
8;5014;123,9872;528639;4231385;1310;42
9;5019;105,4715;521716;4229114;780;28
10;5024;49,4891;517833;4225560;600;13
11;5027;92,7399;516729;4218499;800;17
12;5032;124,3341;497031;4223075;1039;47
13;5033;33,8231;497881;4215061;460;14
14; 5034E  ;61,5426;499342;4212133;690;23
15;5038;100,1005;499829;4195799;885;34
16;5039;96,9956;500562;4196877;933;34
17;5044;74,9787;524525;4143289;911;43
18; 5044E  ;50,9502;525298;4131273;1260;22
19;5046;75,5442;512732;4141568;1380;34
20; 5047A  ;52,0303;519964;4149133;848;26
21;5049;56,5441;528653;4192921;1115;22
22;5050;104,0121;528649;4193845;1130;41
23;5051;109,1509;530640;4190586;1100;52
24; 5053E  ;69,709;523347;4186000;1105;27
25; 5056I  ;37,5182;552710;4174486;960;16
26;5060;70,9527;568024;4190749;1192;34
27; 5064E  ;47,4715;553032;4181484;980;23
28;5065;62,7727;545851;4175123;925;37
29;5068;109,0762;542901;4200842;1198;43
30; 5071E  ;61,5567;541662;4185271;955;34
31;5074;43,5373;529218;4171349;760;20
32;5075;37,1963;526797;4162404;727;19
33;5076;35,9978;526552;4162403;727;20
34;5084;43,5216;515032;4160987;620;19
35;5085;136,0388;510088;4192877;1290;36
36;5087;105,9198;507408;4185786;1220;25
37;5089;190,3387;507168;4180854;1020;71
38; 5092E  ;43,7384;513442;4158365;700;22
39; 5094E  ;48,6039;504376;4139711;1280;22
40;5102;59,334;478835;4130645;916;29
41;5112;24,0799;488011;4128162;915;12
42; 5112A  ;42,5906;487963;4128747;905;25
43; 5113O  ;37,7925;504013;4127538;1426;21
44;5134;29,9973;493215;4170376;1000;18
45;5135;75,015;501297;4180543;1400;23
46;5141;86,475;499585;4191638;1421;22
47; 5154A  ;61,1045;469037;4189046;660;26
48;5155;55,1657;463903;4188635;640;24
49;5156;71,6004;467229;4207483;765;23
50;5163;110,3201;458036;4188355;590;48
51;5164;29,0376;458610;4205303;760;14
52; 5166A  ;67,9744;455191;4182206;885;26
53;5169;33,4672;445404;4200141;260;14
54; 5169E  ;43,633;448301;4195037;420;20
55; 5171A  ;66,6555;436126;4199746;345;33
56;5177;52,5252;526078;4233904;820;14
57; 5180E  ;71,7642;509235;4234083;592;29
58;5202;73,8046;510038;4233714;557;27
59;5210;69,7764;499051;4224708;660;27
60;5215;52,6181;478241;4213241;690;21
61;5218;48,9054;459893;4218242;310;19
62;5220;71,4517;457787;4211164;546;30
63; 5233A  ;88,2752;481844;4233512;710;31
64; 5249O  ;52,5648;455944;4208492;595;21
65;5250;46,1016;448429;4215224;300;19
66; 5250O  ;39,1224;451954;4205741;503;17
67;5252;77,0648;441802;4208334;290;37
68; 5262B  ;35,3406;443747;4171859;560;17
69; 5264B  ;52,6515;446340;4182721;765;22
70; 5269A  ;135,4098;428094;4171518;640;48
71;5270;93,7319;430602;4181452;510;37
72; 5270B  ;46,239;428890;4181466;582;18
73;5271;103,4541;420933;4180861;640;38
74;5272;84,0415;424529;4186129;460;39
75; 5275A  ;40,7839;431502;4201325;260;13
76;5277;55,6776;446134;4236507;606;15
77;5279;37,9676;439740;4226226;349;13
78; 5279U  ;76,903;444586;4223418;520;31
79;5281;74,5155;432120;4216885;343;27
80; 5296U  ;60,6044;413428;4211514;240;23
81; 5298C  ;50,514;405845;4209286;200;19
82;5325;35,5564;398458;4213320;200;13
83; 5330A  ;119,1642;415714;4180173;591;51
84; 5331A  ;50,0585;411904;4187672;440;21
85;5337;47,8528;402726;4203312;348;18
86;5349;64,7907;398571;4202745;340;26
87;5406;101,5757;418150;4146737;940;35
88; 5406E  ;56,8432;419781;4150266;920;21
89;5407;63,4021;416624;4153841;686;25
90;5408;56,0785;403943;4161068;673;27
91;5418;116,0494;427849;4160363;927;35
92;5419;68,3996;423069;4160560;800;18
93; 5422O  ;52,2427;400080;4166199;410;26
94;5504;77,7325;467183;4121746;1200;27
95;5514;110,9363;443922;4110251;687;71
96;5515;57,8881;447266;4116300;774;27
97; 5515A  ;63,1643;446333;4116922;689;32
98;5517;39,4187;451182;4102717;980;16
99;5518;66,0082;449448;4101803;990;27
100;5520;71,8481;443185;4107020;745;40
101; 5524O  ;39,6658;431121;4119776;550;16
102; 5530E  ;62,4767;429933;4116211;567;38
103; 5536I  ;45,5334;448192;4138483;890;15
104; 5545E  ;64,9412;436745;4136713;860;25
105; 5549A  ;52,0558;434128;4122988;600;10
106; 5562E  ;70,9417;420640;4124399;764;30
107; 5562O  ;53,4271;420060;4115128;580;29
108; 5569E  ;133,7956;435228;4083255;1120;37
109; 5578U  ;68,3902;409872;4130950;810;22
110;5579;35,3901;410979;4130876;833;10
111;6031;97,692;315919;4061876;1180;19
112;6032;59,1557;306378;4068254;660;20
113;6033;78,485;311766;4076243;755;30
114;6034;91,7341;309222;4074480;616;34
115;6035;120,3673;296068;4062634;920;21
116;6038;53,5676;296123;4059703;429;10
117;6039;85,1427;278860;4050262;560;13
118;6040;94,9884;290563;4050740;334;18
119;6041;84,8836;286972;4046357;212;17
120;6042;51,0444;284241;4041644;65;12
121;6043;101,3072;307379;4057593;846;23
122;6045;127,017;303130;4056487;674;31
123; 6046I  ;79,1046;307545;4053920;836;21
124;6049;52,3383;299919;4046663;517;15
125;6050;133,5872;292492;4044094;595;30
126; 6053E  ;93,4704;268470;4045971;511;19
127;6058;33,795;296420;4035489;415;11
128;6072;54,2665;321400;4038791;25;18
129;6076;93,116;325622;4050574;288;25
130; 6076O  ;81,7061;325101;4039578;7;31
131;6077;86,0932;331173;4041985;20;25
132;6078;64,3745;333904;4048098;332;19
133;6080;45,9573;353065;4041584;20;17
134;6085;59,0752;353476;4051133;428;16
135;6087;56,5876;359598;4051617;259;15
136;6090;48,3297;389285;4100373;960;12
137;6091;58,0747;380988;4098945;688;23
138;6092;50,1074;378466;4095436;697;20
139; 6097E  ;92,3033;376503;4106592;698;39
140;6098;52,1527;366582;4102242;470;23
141;6103;46,7355;359245;4111209;438;18
142;6104;44,4131;357770;4107133;460;19
143;6105;45,6905;356132;4105188;410;22
144;6106;71,4787;346561;4100455;378;29
145;6109;46,6665;340277;4089596;360;17
146;6110;117,7723;317777;4090666;735;39
147;6112;45,9747;320141;4097090;500;18
148;6113;83,4073;334404;4101887;650;37
149;6114;71,1937;329201;4095115;558;30
150;6116;62,2108;318956;4064586;1190;11
151; 6118A  ;66,5872;326413;4073589;564;26
152; 6119I  ;54,9662;335855;4084902;360;22
153;6120;61,7915;339503;4089240;358;26
154;6121;54,1705;343183;4086150;225;18
155;6126;39,4101;346564;4081465;140;15
156;6130;61,2236;361221;4099246;502;28
157;6132;51,6587;348452;4076190;110;20
158;6133;33,1378;347728;4070346;85;11
159; 6134B  ;50,395;337701;4080427;533;15
160;6135;59,9627;335738;4072418;480;18
161;6139;85,0572;333742;4066660;367;26
162;6143;86,9567;342802;4058720;209;27
163;6145;54,287;350641;4066749;50;20
164;6146;70,5231;351536;4056838;340;25
165; 6146I  ;49,8075;350527;4063021;60;17
166;6152;33,9952;373210;4091198;820;11
167; 6152E  ;71,7856;373193;4089349;700;25
168;6153;82,9118;362735;4076688;375;34
169;6154;50,8156;366291;4075892;130;19
170; 6155A  ;151,2853;367019;4058927;7;68
171;6160;68,4039;369849;4081693;695;23
172;6162;97,5959;378468;4076572;718;31
173;6165;84,5333;376585;4076538;758;32
174;6166;69,6096;376561;4074935;617;26
175;6168;62,4591;376482;4071176;500;22
176;6169;35,1628;374656;4071757;189;13
177;6170;40,4507;372161;4070716;100;18
178;6171;100,0829;372600;4065253;53;44
179;6174;46,058;381991;4064287;421;13
180;6175;72,898;384893;4064247;7;31
181;6177;73,7443;388223;4070305;433;31
182;6179;83,7793;387855;4094998;925;21
183;6180;69,6826;393818;4087524;550;23
184;6182;132,0755;400988;4084880;547;34
185;6183;81,7237;398789;4078988;130;31
186;6191;55,8463;381038;4084920;680;18
187;6192;62,5987;384769;4086255;400;22
188;6194;65,3933;388632;4078807;731;22
189;6195;73,5789;393689;4077201;96;24
190;6198;55,6433;396478;4072235;126;16
191;6201;87,5929;407115;4070264;80;40
192;6202;102,9887;412010;4078441;597;35
193;6203;77,8478;413504;4076823;672;25
194;6207;41,8438;415031;4068486;150;14
195;6220;72,4987;437390;4074303;340;19
196;6221;140,1155;439886;4076904;631;37
197; 6221E  ;79,4821;439028;4074660;266;23
198;6224;93,9064;483015;4092270;1319;27
199;6225;102,2354;483750;4088725;916;35
200;6226;70,9683;473339;4081356;684;24
201;6234;110,5077;476224;4095214;1476;28
202;6236;73,3603;473732;4088442;1120;21
203; 6242U  ;82,939;467682;4091082;1530;19
204; 6243E  ;64,2505;467674;4088925;1000;18
205;6246;72,8085;463847;4090481;1700;22
206;6247;103,3446;462210;4083863;450;41
207;6249;82,4996;444235;4097829;753;40
208;6250;54,6693;446702;4097197;740;25
209;6251;83,8558;457708;4099292;1800;20
210;6252;63,7528;450475;4095942;890;24
211;6253;71,1712;452115;4093159;931;31
212;6258;112,0283;456135;4086450;707;50
213;6262;42,6798;448307;4076695;262;13
214;6263;43,4135;449049;4076598;235;16
215;6264;56,3235;454257;4077739;130;20
216;6266;112,0564;443080;4072876;390;36
217;6268;31,9309;449363;4066827;50;11
218;6269;78,1215;453459;4067574;40;37
219;6273;45,679;472573;4074271;1240;16
220;6274;46,3887;475029;4066714;10;27
221;6275;75,7784;481735;4071781;240;32
222;6276;65,1003;486436;4066996;8;32
223;6279;73,1301;500321;4098108;1260;25
224;6281;41,6726;495129;4091022;559;14
225;6282;84,0772;486106;4092727;1200;25
226;6284;63,8204;494875;4080083;684;25
227;6286;54,7791;508492;4080086;800;27
228;6287;43,8903;504408;4077617;350;21
229;6289;43,5713;510244;4064681;4;26
230;6290;24,7099;511100;4074234;370;11
231;6293;37,2833;526628;4060094;7;25
232;6294;35,0725;528589;4067496;80;19
233;6297;55,1968;548623;4076522;7;43
234;6300;37,6465;514007;4113989;950;21
235;6301;37,1419;519056;4116465;1100;19
236;6303;61,0225;528676;4114951;1190;22
237;6304;19,1979;524266;4105076;1080;11
238;6305;37,1158;531048;4106947;595;19
239;6306;53,3064;533673;4098637;460;30
240;6307;123,7166;507731;4100114;1800;43
241;6308;105,0486;508969;4097805;1280;40
242;6309;68,9121;509961;4094262;921;26
243;6310;37,7941;522555;4098908;1000;17
244;6312;45,6318;518858;4094893;800;24
245;6313;35,369;532438;4085690;1219;12
246;6314;46,9062;538405;4090183;520;24
247;6315;28,6397;541038;4108223;758;11
248;6317;22,0121;542190;4099908;460;12
249;6321;32,703;562658;4104657;515;17
250;6322;50,8917;554164;4100901;490;26
251;6324;27,6968;548057;4088845;127;18
252; 6325O  ;55,3546;557332;4078025;21;42
253;6326;21,3885;563220;4078868;70;13
254;6327;49,9765;570792;4091470;356;29
255; 6328N  ;35,3525;571056;4074677;50;24
256;6329;19,2798;572304;4064826;41;16
257;6331;41,2164;571095;4099639;550;23
258;6332;58,5134;597530;4088900;202;33
259;6333;44,1133;587255;4101794;340;21
260;6339;56,1924;594032;4114195;120;22
261;6340;45,4169;604312;4114686;12;22
262;6342;83,0373;582886;4119009;500;30
263;6343;39,631;600838;4122596;100;20
264;6346;54,042;535507;4132235;954;24
